arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
A,20,89,2023-04-10,2023-02-09,22,raw_excess,609,609,True,609,0.0034354947351713126,-0.0042763799198223245,0.007711874654993637,61,-0.19533172600806706,-0.09821173683322924,0.0026000000000000003,0.005111874654993636
A,20,90,2023-04-17,2023-02-16,22,raw_excess,609,609,True,609,-0.014094610474352393,-0.010036615202127414,-0.004057995272224979,57,-0.2182887617574178,-0.11034817470470976,0.0014333333333333331,-0.005491328605558312
A,20,91,2023-04-24,2023-02-24,22,raw_excess,609,609,True,609,-0.0017368446956203864,0.010875947070322104,-0.012612791765942492,43,0.030511110308274924,0.030517804545280663,0.0018999999999999996,-0.01451279176594249
A,20,92,2023-05-01,2023-03-03,23,raw_excess,609,609,True,609,-0.0023247467283923047,0.017438489064516022,-0.019763235792908326,48,0.11671205642710504,0.1529628905502875,0.0018666666666666664,-0.021629902459574992
A,20,93,2023-05-08,2023-03-10,23,raw_excess,609,609,True,609,0.015051497908249412,0.021022097936799284,-0.005970600028549872,88,0.34291430951601726,0.32571511452458163,0.0019999999999999996,-0.007970600028549872
A,20,94,2023-05-15,2023-03-17,23,raw_excess,609,609,True,609,0.017943972312836592,0.01369575465079038,0.004248217662046213,61,0.3003156385877072,0.35706922053579393,0.0013333333333333333,0.0029148843287128802
A,20,95,2023-05-22,2023-03-24,23,raw_excess,609,609,True,609,0.027189157025786583,0.004150806138878988,0.023038350886907595,65,0.07801915401845483,0.1720813126654964,0.0011666666666666668,0.02187168422024093
A,20,96,2023-05-30,2023-03-31,24,raw_excess,609,609,True,609,0.007126612505054223,-0.0017680295898539033,0.008894642094908126,82,0.01538983836074074,0.12494586168643768,0.0030000000000000005,0.005894642094908125
A,20,97,2023-06-06,2023-04-10,24,raw_excess,609,609,True,609,0.006983867705210997,-0.01381867513837406,0.020802542843585056,55,-0.153333546114441,-0.08568554413634705,0.0027,0.018102542843585055
A,20,98,2023-06-13,2023-04-17,24,raw_excess,609,609,True,609,0.027487330335504913,0.016771360867923166,0.010715969467581746,75,0.06435082456464647,0.1524343114711595,0.0017666666666666666,0.00894930280091508
A,20,99,2023-06-21,2023-04-24,24,raw_excess,609,609,True,609,0.0365300906126244,0.034438989413010865,0.002091101199613532,103,0.18838698890545755,0.27933717861469115,0.0015,0.000591101199613532
A,20,100,2023-06-28,2023-05-01,25,raw_excess,609,609,True,609,0.03958267927401503,0.03220621599400293,0.007376463280012097,75,0.16037224208061132,0.19930039910403477,0.0013333333333333333,0.0060431299466787635
A,20,101,2023-07-06,2023-05-08,25,raw_excess,609,609,True,609,0.05293565512094428,0.061435341898714795,-0.008499686777770514,78,0.22045089405254226,0.2533210853589598,0.0016666666666666666,-0.010166353444437181
A,20,102,2023-07-13,2023-05-15,25,raw_excess,609,609,True,609,0.01602816848925327,0.019369919471934477,-0.003341750982681208,102,0.044524645417954145,0.02508792827178177,0.001833333333333333,-0.005175084316014541
A,20,103,2023-07-20,2023-05-22,25,raw_excess,609,609,True,609,-0.008805614555218931,-0.009435297832964241,0.0006296832777453101,61,-0.06424921475537344,-0.06061296896849245,0.0019999999999999996,-0.0013703167222546895
